Operation: R17, Current Value: 67, Part1: 0, Part2: 0
Operation: R757, Current Value: 20, Part1: 212, Part2: 1144
Operation: R70, Current Value: 90, Part1: 212, Part2: 1144
Operation: L459, Current Value: 31, Part1: 212, Part2: 1148
Operation: L155, Current Value: 76, Part1: 212, Part2: 1150
Operation: L53, Current Value: 23, Part1: 212, Part2: 1150
Operation: L73, Current Value: 50, Part1: 212, Part2: 1151
Operation: L50, Current Value: 0, Part1: 213, Part2: 1151
Operation: L5, Current Value: 95, Part1: 213, Part2: 1152
Operation: L58, Current Value: 37, Part1: 213, Part2: 1152
Operation: R24, Current Value: 61, Part1: 213, Part2: 1152
Operation: R966, Current Value: 27, Part1: 213, Part2: 1162
Operation: L27, Current Value: 0, Part1: 214, Part2: 1162
Operation: R104, Current Value: 4, Part1: 214, Part2: 1163
Operation: R77, Current Value: 81, Part1: 214, Part2: 1163
Operation: L29, Current Value: 52, Part1: 214, Part2: 1163
Operation: L52, Current Value: 0, Part1: 215, Part2: 1163
Operation: R36, Current Value: 36, Part1: 215, Part2: 1163
Operation: R64, Current Value: 0, Part1: 216, Part2: 1164
Operation: L628, Current Value: 72, Part1: 216, Part2: 1171
Operation: L72, Current Value: 0, Part1: 217, Part2: 1171
Operation: R74, Current Value: 74, Part1: 217, Part2: 1171
Operation: L52, Current Value: 22, Part1: 217, Part2: 1171
Operation: L58, Current Value: 64, Part1: 217, Part2: 1172
Operation: R336, Current Value: 0, Part1: 218, Part2: 1176
Operation: R495, Current Value: 95, Part1: 218, Part2: 1180
Operation: R83, Current Value: 78, Part1: 218, Part2: 1181
Operation: L36, Current Value: 42, Part1: 218, Part2: 1181
Operation: R87, Current Value: 29, Part1: 218, Part2: 1182
Operation: L58, Current Value: 71, Part1: 218, Part2: 1183
Operation: L29, Current Value: 42, Part1: 218, Part2: 1183
Operation: L42, Current Value: 0, Part1: 219, Part2: 1183
Operation: R55, Current Value: 55, Part1: 219, Part2: 1183
Operation: R48, Current Value: 3, Part1: 219, Part2: 1184
Operation: R97, Current Value: 0, Part1: 220, Part2: 1185
Operation: R126, Current Value: 26, Part1: 220, Part2: 1186
Operation: L71, Current Value: 55, Part1: 220, Part2: 1187
Operation: L70, Current Value: 85, Part1: 220, Part2: 1188
Operation: L12, Current Value: 73, Part1: 220, Part2: 1188
Operation: L36, Current Value: 37, Part1: 220, Part2: 1188
Operation: L972, Current Value: 65, Part1: 220, Part2: 1198
Operation: L65, Current Value: 0, Part1: 221, Part2: 1198
Operation: R28, Current Value: 28, Part1: 221, Part2: 1198
Operation: R2, Current Value: 30, Part1: 221, Part2: 1198
Operation: L30, Current Value: 0, Part1: 222, Part2: 1198
Operation: L76, Current Value: 24, Part1: 222, Part2: 1199
Operation: R67, Current Value: 91, Part1: 222, Part2: 1199
Operation: R56, Current Value: 47, Part1: 222, Part2: 1200
Operation: L69, Current Value: 78, Part1: 222, Part2: 1201
Operation: R22, Current Value: 0, Part1: 223, Part2: 1202
Operation: L15, Current Value: 85, Part1: 223, Part2: 1203
Operation: R12, Current Value: 97, Part1: 223, Part2: 1203
Operation: L25, Current Value: 72, Part1: 223, Part2: 1203
Operation: R34, Current Value: 6, Part1: 223, Part2: 1204
Operation: R56, Current Value: 62, Part1: 223, Part2: 1204
Operation: L70, Current Value: 92, Part1: 223, Part2: 1205
Operation: R8, Current Value: 0, Part1: 224, Part2: 1206
Operation: L44, Current Value: 56, Part1: 224, Part2: 1207
Operation: R44, Current Value: 0, Part1: 225, Part2: 1208
Operation: L89, Current Value: 11, Part1: 225, Part2: 1209
Operation: L14, Current Value: 97, Part1: 225, Part2: 1210
Operation: L98, Current Value: 99, Part1: 225, Part2: 1211
Operation: L499, Current Value: 0, Part1: 226, Part2: 1215
Operation: R61, Current Value: 61, Part1: 226, Part2: 1215
Operation: L40, Current Value: 21, Part1: 226, Part2: 1215
Operation: R10, Current Value: 31, Part1: 226, Part2: 1215
Operation: L384, Current Value: 47, Part1: 226, Part2: 1219
Operation: L83, Current Value: 64, Part1: 226, Part2: 1220
Operation: R36, Current Value: 0, Part1: 227, Part2: 1221
Operation: L6, Current Value: 94, Part1: 227, Part2: 1222
Operation: R42, Current Value: 36, Part1: 227, Part2: 1223
Operation: R323, Current Value: 59, Part1: 227, Part2: 1226
Operation: R63, Current Value: 22, Part1: 227, Part2: 1227
Operation: R78, Current Value: 0, Part1: 228, Part2: 1228
Operation: L99, Current Value: 1, Part1: 228, Part2: 1229
Operation: L98, Current Value: 3, Part1: 228, Part2: 1230
Operation: R958, Current Value: 61, Part1: 228, Part2: 1239
Operation: L69, Current Value: 92, Part1: 228, Part2: 1240
Operation: L92, Current Value: 0, Part1: 229, Part2: 1240
Operation: R93, Current Value: 93, Part1: 229, Part2: 1240
Operation: R55, Current Value: 48, Part1: 229, Part2: 1241
Operation: R58, Current Value: 6, Part1: 229, Part2: 1242
Operation: R94, Current Value: 0, Part1: 230, Part2: 1243
Operation: L564, Current Value: 36, Part1: 230, Part2: 1249
Operation: R843, Current Value: 79, Part1: 230, Part2: 1257
Operation: R28, Current Value: 7, Part1: 230, Part2: 1258
Operation: R97, Current Value: 4, Part1: 230, Part2: 1259
Operation: R84, Current Value: 88, Part1: 230, Part2: 1259
Operation: R207, Current Value: 95, Part1: 230, Part2: 1261
Operation: L42, Current Value: 53, Part1: 230, Part2: 1261
Operation: L977, Current Value: 76, Part1: 230, Part2: 1271
Operation: L76, Current Value: 0, Part1: 231, Part2: 1271
Operation: L63, Current Value: 37, Part1: 231, Part2: 1272
Operation: L91, Current Value: 46, Part1: 231, Part2: 1273
Operation: L646, Current Value: 0, Part1: 232, Part2: 1279
Operation: L949, Current Value: 51, Part1: 232, Part2: 1289
Operation: R49, Current Value: 0, Part1: 233, Part2: 1290
Operation: L46, Current Value: 54, Part1: 233, Part2: 1291
Operation: R89, Current Value: 43, Part1: 233, Part2: 1292
Operation: R57, Current Value: 0, Part1: 234, Part2: 1293
Operation: R44, Current Value: 44, Part1: 234, Part2: 1293
Operation: L978, Current Value: 66, Part1: 234, Part2: 1303
Operation: L3, Current Value: 63, Part1: 234, Part2: 1303
Operation: L10, Current Value: 53, Part1: 234, Part2: 1303
Operation: L53, Current Value: 0, Part1: 235, Part2: 1303
Operation: R30, Current Value: 30, Part1: 235, Part2: 1303
Operation: L30, Current Value: 0, Part1: 236, Part2: 1303
Operation: L69, Current Value: 31, Part1: 236, Part2: 1304
Operation: R769, Current Value: 0, Part1: 237, Part2: 1312
Operation: R80, Current Value: 80, Part1: 237, Part2: 1312
Operation: L87, Current Value: 93, Part1: 237, Part2: 1313
Operation: L6, Current Value: 87, Part1: 237, Part2: 1313
Operation: L47, Current Value: 40, Part1: 237, Part2: 1313
Operation: L70, Current Value: 70, Part1: 237, Part2: 1314
Operation: R96, Current Value: 66, Part1: 237, Part2: 1315
Operation: R87, Current Value: 53, Part1: 237, Part2: 1316
Operation: R47, Current Value: 0, Part1: 238, Part2: 1317
Operation: L56, Current Value: 44, Part1: 238, Part2: 1318
Operation: L55, Current Value: 89, Part1: 238, Part2: 1319
Operation: R11, Current Value: 0, Part1: 239, Part2: 1320
Operation: R16, Current Value: 16, Part1: 239, Part2: 1320
Operation: R84, Current Value: 0, Part1: 240, Part2: 1321
Operation: L8, Current Value: 92, Part1: 240, Part2: 1322
Operation: L74, Current Value: 18, Part1: 240, Part2: 1322
Operation: L18, Current Value: 0, Part1: 241, Part2: 1322
Operation: L55, Current Value: 45, Part1: 241, Part2: 1323
Operation: L54, Current Value: 91, Part1: 241, Part2: 1324
Operation: R9, Current Value: 0, Part1: 242, Part2: 1325
Operation: L42, Current Value: 58, Part1: 242, Part2: 1326
Operation: R42, Current Value: 0, Part1: 243, Part2: 1327
Operation: L86, Current Value: 14, Part1: 243, Part2: 1328
Operation: R8, Current Value: 22, Part1: 243, Part2: 1328
Operation: L22, Current Value: 0, Part1: 244, Part2: 1328
Operation: R853, Current Value: 53, Part1: 244, Part2: 1336
Operation: R27, Current Value: 80, Part1: 244, Part2: 1336
Operation: L780, Current Value: 0, Part1: 245, Part2: 1343
Operation: R9, Current Value: 9, Part1: 245, Part2: 1343
Operation: R91, Current Value: 0, Part1: 246, Part2: 1344
Operation: R54, Current Value: 54, Part1: 246, Part2: 1344
Operation: L315, Current Value: 39, Part1: 246, Part2: 1347
Operation: R46, Current Value: 85, Part1: 246, Part2: 1347
Operation: R8, Current Value: 93, Part1: 246, Part2: 1347
Operation: L44, Current Value: 49, Part1: 246, Part2: 1347
Operation: L456, Current Value: 93, Part1: 246, Part2: 1352
Operation: L93, Current Value: 0, Part1: 247, Part2: 1352
Operation: R87, Current Value: 87, Part1: 247, Part2: 1352
Operation: R43, Current Value: 30, Part1: 247, Part2: 1353
Operation: R14, Current Value: 44, Part1: 247, Part2: 1353
Operation: R956, Current Value: 0, Part1: 248, Part2: 1363
Operation: L29, Current Value: 71, Part1: 248, Part2: 1364
Operation: L971, Current Value: 0, Part1: 249, Part2: 1373
Operation: L658, Current Value: 42, Part1: 249, Part2: 1380
Operation: R16, Current Value: 58, Part1: 249, Part2: 1380
Operation: L74, Current Value: 84, Part1: 249, Part2: 1381
Operation: R86, Current Value: 70, Part1: 249, Part2: 1382
Operation: R262, Current Value: 32, Part1: 249, Part2: 1385
Operation: R29, Current Value: 61, Part1: 249, Part2: 1385
Operation: L56, Current Value: 5, Part1: 249, Part2: 1385
Operation: L19, Current Value: 86, Part1: 249, Part2: 1386
Operation: R43, Current Value: 29, Part1: 249, Part2: 1387
Operation: R41, Current Value: 70, Part1: 249, Part2: 1387
Operation: L70, Current Value: 0, Part1: 250, Part2: 1387
Operation: L69, Current Value: 31, Part1: 250, Part2: 1388
Operation: R69, Current Value: 0, Part1: 251, Part2: 1389
Operation: R71, Current Value: 71, Part1: 251, Part2: 1389
Operation: R29, Current Value: 0, Part1: 252, Part2: 1390
Operation: L63, Current Value: 37, Part1: 252, Part2: 1391
Operation: L37, Current Value: 0, Part1: 253, Part2: 1391
Operation: L50, Current Value: 50, Part1: 253, Part2: 1392
Operation: R944, Current Value: 94, Part1: 253, Part2: 1401
Operation: R6, Current Value: 0, Part1: 254, Part2: 1402
Operation: L41, Current Value: 59, Part1: 254, Part2: 1403
Operation: R74, Current Value: 33, Part1: 254, Part2: 1404
Operation: L133, Current Value: 0, Part1: 255, Part2: 1405
Operation: L13, Current Value: 87, Part1: 255, Part2: 1406
Operation: L25, Current Value: 62, Part1: 255, Part2: 1406
Operation: R938, Current Value: 0, Part1: 256, Part2: 1416
Operation: L4, Current Value: 96, Part1: 256, Part2: 1417
Operation: R555, Current Value: 51, Part1: 256, Part2: 1423
Operation: R463, Current Value: 14, Part1: 256, Part2: 1428
Operation: L80, Current Value: 34, Part1: 256, Part2: 1429
Operation: R679, Current Value: 13, Part1: 256, Part2: 1436
Operation: L48, Current Value: 65, Part1: 256, Part2: 1437
Operation: L165, Current Value: 0, Part1: 257, Part2: 1438
Operation: L702, Current Value: 98, Part1: 257, Part2: 1446
Operation: L94, Current Value: 4, Part1: 257, Part2: 1446
Operation: R96, Current Value: 0, Part1: 258, Part2: 1447
Operation: R53, Current Value: 53, Part1: 258, Part2: 1447
Operation: R495, Current Value: 48, Part1: 258, Part2: 1452
Operation: R52, Current Value: 0, Part1: 259, Part2: 1453
Operation: R22, Current Value: 22, Part1: 259, Part2: 1453
Operation: R78, Current Value: 0, Part1: 260, Part2: 1454
Operation: R719, Current Value: 19, Part1: 260, Part2: 1461
Operation: L19, Current Value: 0, Part1: 261, Part2: 1461
Operation: R96, Current Value: 96, Part1: 261, Part2: 1461
Operation: R224, Current Value: 20, Part1: 261, Part2: 1464
Operation: R80, Current Value: 0, Part1: 262, Part2: 1465
Operation: L20, Current Value: 80, Part1: 262, Part2: 1466
Operation: L74, Current Value: 6, Part1: 262, Part2: 1466
Operation: R614, Current Value: 20, Part1: 262, Part2: 1472
Operation: R98, Current Value: 18, Part1: 262, Part2: 1473
Operation: R82, Current Value: 0, Part1: 263, Part2: 1474
Operation: L833, Current Value: 67, Part1: 263, Part2: 1483
Operation: L67, Current Value: 0, Part1: 264, Part2: 1483
Operation: R43, Current Value: 43, Part1: 264, Part2: 1483
Operation: R30, Current Value: 73, Part1: 264, Part2: 1483
Operation: L4, Current Value: 69, Part1: 264, Part2: 1483
Operation: R9, Current Value: 78, Part1: 264, Part2: 1483
Operation: R22, Current Value: 0, Part1: 265, Part2: 1484
Operation: L95, Current Value: 5, Part1: 265, Part2: 1485
Operation: R62, Current Value: 67, Part1: 265, Part2: 1485
Operation: L555, Current Value: 12, Part1: 265, Part2: 1490
Operation: L357, Current Value: 55, Part1: 265, Part2: 1494
Operation: R80, Current Value: 35, Part1: 265, Part2: 1495
Operation: L53, Current Value: 82, Part1: 265, Part2: 1496
Operation: R82, Current Value: 64, Part1: 265, Part2: 1497
Operation: L86, Current Value: 78, Part1: 265, Part2: 1498
Operation: L83, Current Value: 95, Part1: 265, Part2: 1499
Operation: L18, Current Value: 77, Part1: 265, Part2: 1499
Operation: R623, Current Value: 0, Part1: 266, Part2: 1506
Operation: L24, Current Value: 76, Part1: 266, Part2: 1507
Operation: L676, Current Value: 0, Part1: 267, Part2: 1513
Operation: L84, Current Value: 16, Part1: 267, Part2: 1514
Operation: R88, Current Value: 4, Part1: 267, Part2: 1515
Operation: L22, Current Value: 82, Part1: 267, Part2: 1516
Operation: R43, Current Value: 25, Part1: 267, Part2: 1517
Operation: R75, Current Value: 0, Part1: 268, Part2: 1518
Operation: L43, Current Value: 57, Part1: 268, Part2: 1519
Operation: L768, Current Value: 89, Part1: 268, Part2: 1527
Operation: L66, Current Value: 23, Part1: 268, Part2: 1527
Operation: L95, Current Value: 28, Part1: 268, Part2: 1528
Operation: L28, Current Value: 0, Part1: 269, Part2: 1528
Operation: R77, Current Value: 77, Part1: 269, Part2: 1528
Operation: L90, Current Value: 87, Part1: 269, Part2: 1529
Operation: L506, Current Value: 81, Part1: 269, Part2: 1534
Operation: R19, Current Value: 0, Part1: 270, Part2: 1535
Operation: R440, Current Value: 40, Part1: 270, Part2: 1539
Operation: R59, Current Value: 99, Part1: 270, Part2: 1539
Operation: R93, Current Value: 92, Part1: 270, Part2: 1540
Operation: L3, Current Value: 89, Part1: 270, Part2: 1540
Operation: R11, Current Value: 0, Part1: 271, Part2: 1541
Operation: L58, Current Value: 42, Part1: 271, Part2: 1542
Operation: L740, Current Value: 2, Part1: 271, Part2: 1549
Operation: R7, Current Value: 9, Part1: 271, Part2: 1549
Operation: L63, Current Value: 46, Part1: 271, Part2: 1550
Operation: L58, Current Value: 88, Part1: 271, Part2: 1551
Operation: R12, Current Value: 0, Part1: 272, Part2: 1552
Operation: R624, Current Value: 24, Part1: 272, Part2: 1558
Operation: L24, Current Value: 0, Part1: 273, Part2: 1558
Operation: R333, Current Value: 33, Part1: 273, Part2: 1561
Operation: L40, Current Value: 93, Part1: 273, Part2: 1562
Operation: L93, Current Value: 0, Part1: 274, Part2: 1562
Operation: R10, Current Value: 10, Part1: 274, Part2: 1562
Operation: R90, Current Value: 0, Part1: 275, Part2: 1563
Operation: L37, Current Value: 63, Part1: 275, Part2: 1564
Operation: R48, Current Value: 11, Part1: 275, Part2: 1565
Operation: R89, Current Value: 0, Part1: 276, Part2: 1566
Operation: L56, Current Value: 44, Part1: 276, Part2: 1567
Operation: L920, Current Value: 24, Part1: 276, Part2: 1576
Operation: L24, Current Value: 0, Part1: 277, Part2: 1576
Operation: R81, Current Value: 81, Part1: 277, Part2: 1576
Operation: R19, Current Value: 0, Part1: 278, Part2: 1577
Operation: L3, Current Value: 97, Part1: 278, Part2: 1578
Operation: R3, Current Value: 0, Part1: 279, Part2: 1579
Operation: L94, Current Value: 6, Part1: 279, Part2: 1580
Operation: R94, Current Value: 0, Part1: 280, Part2: 1581
Operation: R7, Current Value: 7, Part1: 280, Part2: 1581
Operation: L2, Current Value: 5, Part1: 280, Part2: 1581
Operation: R95, Current Value: 0, Part1: 281, Part2: 1582
Operation: L28, Current Value: 72, Part1: 281, Part2: 1583
Operation: R8, Current Value: 80, Part1: 281, Part2: 1583
Operation: R648, Current Value: 28, Part1: 281, Part2: 1590
Operation: L28, Current Value: 0, Part1: 282, Part2: 1590
Operation: R89, Current Value: 89, Part1: 282, Part2: 1590
Operation: R25, Current Value: 14, Part1: 282, Part2: 1591
Operation: L822, Current Value: 92, Part1: 282, Part2: 1600
Operation: R52, Current Value: 44, Part1: 282, Part2: 1601
Operation: L854, Current Value: 90, Part1: 282, Part2: 1610
Operation: R46, Current Value: 36, Part1: 282, Part2: 1611
Operation: R2, Current Value: 38, Part1: 282, Part2: 1611
Operation: R40, Current Value: 78, Part1: 282, Part2: 1611
Operation: L40, Current Value: 38, Part1: 282, Part2: 1611
Operation: R62, Current Value: 0, Part1: 283, Part2: 1612
Operation: L16, Current Value: 84, Part1: 283, Part2: 1613
Operation: L84, Current Value: 0, Part1: 284, Part2: 1613
Operation: L33, Current Value: 67, Part1: 284, Part2: 1614
Operation: R60, Current Value: 27, Part1: 284, Part2: 1615
Operation: L605, Current Value: 22, Part1: 284, Part2: 1621
Operation: R97, Current Value: 19, Part1: 284, Part2: 1622
Operation: L45, Current Value: 74, Part1: 284, Part2: 1623
Operation: R59, Current Value: 33, Part1: 284, Part2: 1624
Operation: L733, Current Value: 0, Part1: 285, Part2: 1631
Operation: R13, Current Value: 13, Part1: 285, Part2: 1631
Operation: R87, Current Value: 0, Part1: 286, Part2: 1632
Operation: R56, Current Value: 56, Part1: 286, Part2: 1632
Operation: R31, Current Value: 87, Part1: 286, Part2: 1632
Operation: L38, Current Value: 49, Part1: 286, Part2: 1632
Operation: R51, Current Value: 0, Part1: 287, Part2: 1633
Operation: L81, Current Value: 19, Part1: 287, Part2: 1634
Operation: R81, Current Value: 0, Part1: 288, Part2: 1635
Operation: R84, Current Value: 84, Part1: 288, Part2: 1635
Operation: L138, Current Value: 46, Part1: 288, Part2: 1636
Operation: L46, Current Value: 0, Part1: 289, Part2: 1636
Operation: R24, Current Value: 24, Part1: 289, Part2: 1636
Operation: R260, Current Value: 84, Part1: 289, Part2: 1638
Operation: R95, Current Value: 79, Part1: 289, Part2: 1639
Operation: L29, Current Value: 50, Part1: 289, Part2: 1639
Operation: R50, Current Value: 0, Part1: 290, Part2: 1640
Operation: R813, Current Value: 13, Part1: 290, Part2: 1648
Operation: R37, Current Value: 50, Part1: 290, Part2: 1648
Operation: R50, Current Value: 0, Part1: 291, Part2: 1649
Operation: L70, Current Value: 30, Part1: 291, Part2: 1650
Operation: L30, Current Value: 0, Part1: 292, Part2: 1650
Operation: R6, Current Value: 6, Part1: 292, Part2: 1650
Operation: L96, Current Value: 10, Part1: 292, Part2: 1651
Operation: L710, Current Value: 0, Part1: 293, Part2: 1658
Operation: R94, Current Value: 94, Part1: 293, Part2: 1658
Operation: R99, Current Value: 93, Part1: 293, Part2: 1659
Operation: L52, Current Value: 41, Part1: 293, Part2: 1659
Operation: L41, Current Value: 0, Part1: 294, Part2: 1659
Operation: R93, Current Value: 93, Part1: 294, Part2: 1659
Operation: R7, Current Value: 0, Part1: 295, Part2: 1660
Operation: L18, Current Value: 82, Part1: 295, Part2: 1661
Operation: L54, Current Value: 28, Part1: 295, Part2: 1661
Operation: L628, Current Value: 0, Part1: 296, Part2: 1667
Operation: L80, Current Value: 20, Part1: 296, Part2: 1668
Operation: L16, Current Value: 4, Part1: 296, Part2: 1668
Operation: L97, Current Value: 7, Part1: 296, Part2: 1669
Operation: L7, Current Value: 0, Part1: 297, Part2: 1669
Operation: L178, Current Value: 22, Part1: 297, Part2: 1671
Operation: R436, Current Value: 58, Part1: 297, Part2: 1675
Operation: L58, Current Value: 0, Part1: 298, Part2: 1675
Operation: R37, Current Value: 37, Part1: 298, Part2: 1675
Operation: L73, Current Value: 64, Part1: 298, Part2: 1676
Operation: R25, Current Value: 89, Part1: 298, Part2: 1676
Operation: R11, Current Value: 0, Part1: 299, Part2: 1677
Operation: L55, Current Value: 45, Part1: 299, Part2: 1678
Operation: R36, Current Value: 81, Part1: 299, Part2: 1678
Operation: R92, Current Value: 73, Part1: 299, Part2: 1679
Operation: R8, Current Value: 81, Part1: 299, Part2: 1679
Operation: R2, Current Value: 83, Part1: 299, Part2: 1679
Operation: L83, Current Value: 0, Part1: 300, Part2: 1679
Operation: R29, Current Value: 29, Part1: 300, Part2: 1679
Operation: R49, Current Value: 78, Part1: 300, Part2: 1679
Operation: L10, Current Value: 68, Part1: 300, Part2: 1679
Operation: L860, Current Value: 8, Part1: 300, Part2: 1687
Operation: L8, Current Value: 0, Part1: 301, Part2: 1687
Operation: L52, Current Value: 48, Part1: 301, Part2: 1688
Operation: L53, Current Value: 95, Part1: 301, Part2: 1689
Operation: R5, Current Value: 0, Part1: 302, Part2: 1690
Operation: L99, Current Value: 1, Part1: 302, Part2: 1691
Operation: R20, Current Value: 21, Part1: 302, Part2: 1691
Operation: R27, Current Value: 48, Part1: 302, Part2: 1691
Operation: L95, Current Value: 53, Part1: 302, Part2: 1692
Operation: R89, Current Value: 42, Part1: 302, Part2: 1693
Operation: R79, Current Value: 21, Part1: 302, Part2: 1694
Operation: L21, Current Value: 0, Part1: 303, Part2: 1694
Operation: R1, Current Value: 1, Part1: 303, Part2: 1694
Operation: R56, Current Value: 57, Part1: 303, Part2: 1694
Operation: R43, Current Value: 0, Part1: 304, Part2: 1695
Operation: R78, Current Value: 78, Part1: 304, Part2: 1695
Operation: R22, Current Value: 0, Part1: 305, Part2: 1696
Operation: L43, Current Value: 57, Part1: 305, Part2: 1697
Operation: R5, Current Value: 62, Part1: 305, Part2: 1697
Operation: R11, Current Value: 73, Part1: 305, Part2: 1697
Operation: R99, Current Value: 72, Part1: 305, Part2: 1698
Operation: L43, Current Value: 29, Part1: 305, Part2: 1698
Operation: L55, Current Value: 74, Part1: 305, Part2: 1699
Operation: R41, Current Value: 15, Part1: 305, Part2: 1700
Operation: R30, Current Value: 45, Part1: 305, Part2: 1700
Operation: L55, Current Value: 90, Part1: 305, Part2: 1701
Operation: R285, Current Value: 75, Part1: 305, Part2: 1704
Operation: R84, Current Value: 59, Part1: 305, Part2: 1705
Operation: R86, Current Value: 45, Part1: 305, Part2: 1706
Operation: R21, Current Value: 66, Part1: 305, Part2: 1706
Operation: R816, Current Value: 82, Part1: 305, Part2: 1714
Operation: R71, Current Value: 53, Part1: 305, Part2: 1715
Operation: L53, Current Value: 0, Part1: 306, Part2: 1715
Operation: L84, Current Value: 16, Part1: 306, Part2: 1716
Operation: L16, Current Value: 0, Part1: 307, Part2: 1716
Operation: R71, Current Value: 71, Part1: 307, Part2: 1716
Operation: R50, Current Value: 21, Part1: 307, Part2: 1717
Operation: R79, Current Value: 0, Part1: 308, Part2: 1718
Operation: R90, Current Value: 90, Part1: 308, Part2: 1718
Operation: R310, Current Value: 0, Part1: 309, Part2: 1722
Operation: L70, Current Value: 30, Part1: 309, Part2: 1723
Operation: L175, Current Value: 55, Part1: 309, Part2: 1725
Operation: R42, Current Value: 97, Part1: 309, Part2: 1725
Operation: L45, Current Value: 52, Part1: 309, Part2: 1725
Operation: L871, Current Value: 81, Part1: 309, Part2: 1734
Operation: L51, Current Value: 30, Part1: 309, Part2: 1734
Operation: R70, Current Value: 0, Part1: 310, Part2: 1735
Operation: R8, Current Value: 8, Part1: 310, Part2: 1735
Operation: L2, Current Value: 6, Part1: 310, Part2: 1735
Operation: R60, Current Value: 66, Part1: 310, Part2: 1735
Operation: R34, Current Value: 0, Part1: 311, Part2: 1736
Operation: L29, Current Value: 71, Part1: 311, Part2: 1737
Operation: R80, Current Value: 51, Part1: 311, Part2: 1738
Operation: L94, Current Value: 57, Part1: 311, Part2: 1739
Operation: L675, Current Value: 82, Part1: 311, Part2: 1746
Operation: L45, Current Value: 37, Part1: 311, Part2: 1746
Operation: R63, Current Value: 0, Part1: 312, Part2: 1747
Operation: R25, Current Value: 25, Part1: 312, Part2: 1747
Operation: R75, Current Value: 0, Part1: 313, Part2: 1748
Operation: L61, Current Value: 39, Part1: 313, Part2: 1749
Operation: L48, Current Value: 91, Part1: 313, Part2: 1750
Operation: R75, Current Value: 66, Part1: 313, Part2: 1751
Operation: R97, Current Value: 63, Part1: 313, Part2: 1752
Operation: R47, Current Value: 10, Part1: 313, Part2: 1753
Operation: R90, Current Value: 0, Part1: 314, Part2: 1754
Operation: L99, Current Value: 1, Part1: 314, Part2: 1755
Operation: L1, Current Value: 0, Part1: 315, Part2: 1755
Operation: R769, Current Value: 69, Part1: 315, Part2: 1762
Operation: L15, Current Value: 54, Part1: 315, Part2: 1762
Operation: R34, Current Value: 88, Part1: 315, Part2: 1762
Operation: R99, Current Value: 87, Part1: 315, Part2: 1763
Operation: L387, Current Value: 0, Part1: 316, Part2: 1766
Operation: R23, Current Value: 23, Part1: 316, Part2: 1766
Operation: R96, Current Value: 19, Part1: 316, Part2: 1767
Operation: R81, Current Value: 0, Part1: 317, Part2: 1768
Operation: R16, Current Value: 16, Part1: 317, Part2: 1768
Operation: L11, Current Value: 5, Part1: 317, Part2: 1768
Operation: R396, Current Value: 1, Part1: 317, Part2: 1772
Operation: R13, Current Value: 14, Part1: 317, Part2: 1772
Operation: L14, Current Value: 0, Part1: 318, Part2: 1772
Operation: R63, Current Value: 63, Part1: 318, Part2: 1772
Operation: R38, Current Value: 1, Part1: 318, Part2: 1773
Operation: R99, Current Value: 0, Part1: 319, Part2: 1774
Operation: R18, Current Value: 18, Part1: 319, Part2: 1774
Operation: R611, Current Value: 29, Part1: 319, Part2: 1780
Operation: R140, Current Value: 69, Part1: 319, Part2: 1781
Operation: L62, Current Value: 7, Part1: 319, Part2: 1781
Operation: L82, Current Value: 25, Part1: 319, Part2: 1782
Operation: R621, Current Value: 46, Part1: 319, Part2: 1788
Operation: R79, Current Value: 25, Part1: 319, Part2: 1789
Operation: R48, Current Value: 73, Part1: 319, Part2: 1789
Operation: R27, Current Value: 0, Part1: 320, Part2: 1790
Operation: R43, Current Value: 43, Part1: 320, Part2: 1790
Operation: L20, Current Value: 23, Part1: 320, Part2: 1790
Operation: L32, Current Value: 91, Part1: 320, Part2: 1791
Operation: R9, Current Value: 0, Part1: 321, Part2: 1792
Operation: R16, Current Value: 16, Part1: 321, Part2: 1792
Operation: R84, Current Value: 0, Part1: 322, Part2: 1793
Operation: R52, Current Value: 52, Part1: 322, Part2: 1793
Operation: L63, Current Value: 89, Part1: 322, Part2: 1794
Operation: R11, Current Value: 0, Part1: 323, Part2: 1795
Operation: L26, Current Value: 74, Part1: 323, Part2: 1796
Operation: L12, Current Value: 62, Part1: 323, Part2: 1796
Operation: L62, Current Value: 0, Part1: 324, Part2: 1796
Operation: L88, Current Value: 12, Part1: 324, Part2: 1797
Operation: R73, Current Value: 85, Part1: 324, Part2: 1797
Operation: R955, Current Value: 40, Part1: 324, Part2: 1807
Operation: R60, Current Value: 0, Part1: 325, Part2: 1808
Operation: L72, Current Value: 28, Part1: 325, Part2: 1809
Operation: R353, Current Value: 81, Part1: 325, Part2: 1812
Operation: R819, Current Value: 0, Part1: 326, Part2: 1821
Operation: L70, Current Value: 30, Part1: 326, Part2: 1822
Operation: R27, Current Value: 57, Part1: 326, Part2: 1822
Operation: L57, Current Value: 0, Part1: 327, Part2: 1822
Operation: L66, Current Value: 34, Part1: 327, Part2: 1823
Operation: L50, Current Value: 84, Part1: 327, Part2: 1824
Operation: L90, Current Value: 94, Part1: 327, Part2: 1825
Operation: R6, Current Value: 0, Part1: 328, Part2: 1826
Operation: L15, Current Value: 85, Part1: 328, Part2: 1827
Operation: L785, Current Value: 0, Part1: 329, Part2: 1834
Operation: L89, Current Value: 11, Part1: 329, Part2: 1835
